,reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
18015,6b6f613f-d649-4d40-91ae-a952504bae32,Roy Hd,Oppen,5,0,338.0.0.31.95,2024-07-05 14:40:48,338.0.0.31.95
18016,dbb7c3ef-3359-49e0-8aff-97199ad49d89,M.YOGESH PRABHU PRABHU,I like reels in Instagram,5,0,337.0.0.35.102,2024-07-05 14:40:33,337.0.0.35.102
18017,96d97451-9bf5-41bf-a07b-a31466fc62bf,BOJGroup Ghana Limited,awesome,5,0,338.0.0.31.95,2024-07-05 14:40:18,338.0.0.31.95
18018,9591492f-a24b-4850-9b49-4553dc68d8e2,Tatted Nurse,Too many ads. Always blocking my comments stating their links or for likes. Retarded,1,0,,2024-07-05 14:39:56,
18019,5f161aa9-cd98-44d4-bdef-f21b1a94067c,Rekha Rekha,Beautiful Instagram nice good look Mujhe ismein sabse Jyada Achcha lagta hai story lagana dekhna Instagram bahut se use karna Aana chahie thank you everyone..bye..,3,2,,2024-07-05 14:39:14,
18020,8d187324-e950-498b-afed-7d8110fe26dc,Brand Makers,Baikar,5,0,287.0.0.25.77,2024-07-05 14:38:38,287.0.0.25.77
18021,b74770c9-b439-4fcd-9b2c-a724ceadbd65,swarna wathi,Perfect ❤️🦩,5,0,335.0.0.39.93,2024-07-05 14:38:11,335.0.0.39.93
18022,8c8947dd-e330-45b3-9ac7-9c2ad6457c39,Upendar Kumar,Upendra bhaiya,1,0,,2024-07-05 14:38:07,
18023,adbc342e-9d99-43c9-97cf-1d8685febb42,Ajaypal,Good,5,1,335.0.0.39.93,2024-07-05 14:37:48,335.0.0.39.93
18024,542d2d6e-bc08-4d17-8710-6e5822581759,Asraful Hoque,Very good app,5,0,338.0.0.31.95,2024-07-05 14:37:01,338.0.0.31.95
18025,7b7f00b5-af20-4946-bfce-bcb2ff4895f6,Shimul House wife,Good,5,1,,2024-07-05 14:36:18,
18026,acfdb3e9-25da-41ec-b400-8071b9a1bc99,Rahulmo7777 Mourya,Kya ghtiya app hai ek din ladki reply nahi deti don't install this app ❌😞😞,3,0,,2024-07-05 14:36:17,
18027,d312d674-61a7-4831-a3af-16f294df6980,King Mohit King Mohit,My love you instagram 😍💟,5,0,337.0.0.35.102,2024-07-05 14:35:35,337.0.0.35.102
18028,10753736-ed5a-4ef3-801f-aefa25f4af10,GOWTHAM VENNILA,𝐉𝐮𝐬𝐭 𝐥𝐨𝐨𝐤 𝐥𝐢𝐤𝐞 𝐚 𝐰𝐨𝐰 💥❣️🪄,5,1,,2024-07-05 14:35:28,
18029,18683fea-780b-434d-8a83-d045cbbf1139,Samaram Sirvi,Great,5,0,,2024-07-05 14:34:47,
18030,77c5bb83-9624-417b-8e5a-cc6628c3bf25,Ashok Jatav,Is na sabki zindagi badal diya,5,0,336.0.0.35.90,2024-07-05 14:34:46,336.0.0.35.90
18031,6e377622-3e9f-4da8-aae3-8249aae46976,Dinesh Sachan,Taty,5,0,336.0.0.35.90,2024-07-05 14:34:44,336.0.0.35.90
18032,1678568d-6272-446d-b4d1-aea86434f827,Sk Bapi,Very good 👍🏼,5,0,,2024-07-05 14:34:36,
18033,83810713-f79c-43de-aa07-41b875018f4f,shubham Yadav,ZOOM KA OPTIONS ADD KRO REELS ME BHAUJI SB KA DEKHNE ME PROBLEM HOTA HI EXAMPLE ME SOFIYA KO LE LO,5,0,310.0.0.37.328,2024-07-05 14:34:29,310.0.0.37.328
18034,ae873d36-b986-4f6c-a019-b938a21eec5f,Rudra Gupta,thik thak ha,5,0,337.0.0.35.102,2024-07-05 14:34:02,337.0.0.35.102
18035,82efce10-538a-4623-bef0-bcadd313b193,amar dhanjal,THIS IS GOOD PLATFORM...,5,0,338.0.0.31.95,2024-07-05 14:32:57,338.0.0.31.95
18036,febe3b1b-7569-41f2-8935-ca6f810df46d,Abhijith. S. Nair,"Ok.its cool. But sometimes some videos stories not playing,its have only sound.",4,0,338.0.0.31.95,2024-07-05 14:32:07,338.0.0.31.95
18037,f76f47bf-a968-4f0c-a953-2449d8795a89,Boobba Tabian,LET ME FRICKING SIGN UP BUT IT SAYS PAGE NOT AVAILABLE. FIX IT RIGHT NOW I HATE YOU,2,0,,2024-07-05 14:31:26,
18038,ea8d451a-11da-49d2-9a4a-7e3296fdccf6,Abdul Slam,G phone planet,5,1,,2024-07-05 14:31:11,
18039,d7ec139f-ec2b-41a3-80ba-a347a4b47129,DILIP KUMAR,Achha laga,5,0,335.0.0.39.93,2024-07-05 14:31:11,335.0.0.39.93
18040,ca032fef-4daa-4014-b5e2-7c55bf43bdc7,Ritumoni Gogoi,It is a good app,5,0,321.0.0.39.106,2024-07-05 14:30:55,321.0.0.39.106
18041,7c3e45a9-baeb-4b05-b72c-d726009f5922,Harish Kumar,Nice but view nhi ata yar,5,0,338.0.0.31.95,2024-07-05 14:30:19,338.0.0.31.95
18042,dc775911-e8c8-4082-89fc-142774e0b15c,peter musonda,it's very fast app and am so delighted for using this app,5,0,,2024-07-05 14:29:42,
18043,0017c82c-0d93-4540-84b1-baa118967236,Philip Ikenwagu,I love it 💓 so much,5,1,338.0.0.31.95,2024-07-05 14:29:42,338.0.0.31.95
18044,efa09b64-8302-4c76-8a43-42f436419595,Het Vaghasiya,Very good,5,0,337.0.0.35.102,2024-07-05 14:29:30,337.0.0.35.102
18045,a93c229c-f10d-41d0-8d39-6591e0989041,Bittu Kaliya,❤️❤️❤️❤️,5,0,337.0.0.35.102,2024-07-05 14:28:19,337.0.0.35.102
18046,8c6af00c-81f4-4d01-b93f-4c76e935931f,Prashant More,Can't Imagine Life without Instagram 🤩,5,0,338.0.0.31.95,2024-07-05 14:27:21,338.0.0.31.95
18047,7a079314-5db5-4459-b2c6-4c2d6c18cc27,Vansh Sisodiya,Bekar,1,0,337.0.0.35.102,2024-07-05 14:25:30,337.0.0.35.102
18048,bf4a9f88-3617-4efc-87a3-587c4f5c3df3,Banti Kumar,Instagram is not app is friend,5,0,,2024-07-05 14:25:25,
18049,3a9cb999-83dd-42fe-a648-27036023063e,Mukeem khan,Nice,5,1,337.0.0.35.102,2024-07-05 14:25:11,337.0.0.35.102
18050,175abfee-dcbc-488d-93cc-ee97cbe639fd,Kaushal Rana,Hi jj,3,1,,2024-07-05 14:24:44,
18051,809d0ae3-36d6-4c4d-9c74-c16842971520,guilmon981,A platform where scamming is encouraged and even protected.,1,0,338.0.0.31.95,2024-07-05 14:24:39,338.0.0.31.95
18052,0e033ccc-8029-4a71-9ce3-3bbf7d636556,Sobuj Ahmed,Nice,5,1,338.0.0.31.95,2024-07-05 14:24:11,338.0.0.31.95
18053,65cf6211-75cd-4f74-8e0d-83f2f435d2da,Srishant kumar,Very good,5,1,336.0.0.35.90,2024-07-05 14:23:01,336.0.0.35.90
18054,6a108761-1135-482c-96f7-4548572df2d4,Shyam Lal,Maa dada,2,0,,2024-07-05 14:22:47,
